Regex,Alfabeto,Estados de aceptación,Estados,Transiciones,Error
(?:D)A?B,,,,,Línea 1: ValueError: '?' inválido.
[KGIH]+,G H I K [ ],S6,S0 S1 S2 S3 S4 S5 S6,S0 --[--> S1 | S1 --K--> S2 | S2 --G--> S3 | S3 --I--> S4 | S4 --H--> S5 | S5 --]--> S6 | S6 --]--> S6,
[EKICBH]+,B C E H I K [ ],S8,S0 S1 S2 S3 S4 S5 S6 S7 S8,S0 --[--> S1 | S1 --E--> S2 | S2 --K--> S3 | S3 --I--> S4 | S4 --C--> S5 | S5 --B--> S6 | S6 --H--> S7 | S7 --]--> S8 | S8 --]--> S8,
(?:K?)F*C+|C?E?B?B*I+,,,,,Línea 4: ValueError: '?' inválido.
(?:(?:C?)FH*|H?)KA?F+I+,,,,,Línea 5: ValueError: '?' inválido.
(?:H*C+C+|AC+J)B*|C+A?,,,,,Línea 6: ValueError: '?' inválido.
C?G?E*|B*L|D?E*|L+,B C D E G L,S10 S9 S6 S8 S4 S7 S1 S5 S2 S3,S0 S1 S10 S2 S3 S4 S5 S6 S7 S8 S9,S10 --B--> S0 | S10 --C--> S9 | S10 --D--> S5 | S10 --E--> S8 | S10 --G--> S6 | S10 --L--> S7 | S9 --E--> S4 | S9 --G--> S6 | S6 --E--> S4 | S8 --E--> S8 | S4 --E--> S4 | S0 --B--> S0 | S0 --L--> S1 | S7 --L--> S3 | S5 --E--> S2 | S2 --E--> S2 | S3 --L--> S3,
(?:(?:(?:F?|B*A|H?)A+)G+|GC+D*)ID,,,,,Línea 8: ValueError: '?' inválido.
G+C?|L+B*D?D*|L+J+|K+,B C D G J K L,S6 S0 S8 S7 S5 S2 S3 S1,S0 S1 S2 S3 S4 S5 S6 S7 S8,S6 --C--> S0 | S6 --G--> S6 | S4 --G--> S6 | S4 --K--> S1 | S4 --L--> S8 | S8 --B--> S7 | S8 --D--> S5 | S8 --J--> S3 | S8 --L--> S8 | S7 --B--> S7 | S7 --D--> S5 | S5 --D--> S2 | S2 --D--> S2 | S3 --J--> S3 | S1 --K--> S1,
[FHC],C F H [ ],S1,S0 S1 S2 S3 S4 S5,S0 --[--> S2 | S2 --F--> S3 | S3 --H--> S4 | S4 --C--> S5 | S5 --]--> S1,
