Regex,Alfabeto,Estados de aceptación,Estados,Transiciones,Error
(L|G)*K,G K L,S0,S0 S1 S2 S3,S2 --G--> S3 | S2 --K--> S0 | S2 --L--> S2 | S3 --G--> S3 | S3 --K--> S0 | S3 --L--> S2 | S1 --G--> S3 | S1 --K--> S0 | S1 --L--> S2,
(L|J)*E,E J L,S0,S0 S1 S2 S3,S2 --E--> S0 | S2 --J--> S3 | S2 --L--> S2 | S3 --E--> S0 | S3 --J--> S3 | S3 --L--> S2 | S1 --E--> S0 | S1 --J--> S3 | S1 --L--> S2,
(A|K|B)*BLJ,A B J K L,S0,S0 S1 S2 S3 S4 S5,S3 --A--> S3 | S3 --B--> S5 | S3 --K--> S4 | S4 --A--> S3 | S4 --B--> S5 | S4 --K--> S4 | S5 --A--> S3 | S5 --B--> S5 | S5 --K--> S4 | S5 --L--> S1 | S2 --A--> S3 | S2 --B--> S5 | S2 --K--> S4 | S1 --J--> S0,
(K|B|J)*,B J K,S2 S3 S1 S0,S0 S1 S2 S3,S2 --B--> S3 | S2 --J--> S1 | S2 --K--> S2 | S3 --B--> S3 | S3 --J--> S1 | S3 --K--> S2 | S1 --B--> S3 | S1 --J--> S1 | S1 --K--> S2 | S0 --B--> S3 | S0 --J--> S1 | S0 --K--> S2,
(F|C|B|H)*B((I|D)),B C D F H I,S0 S1,S0 S1 S2 S3 S4 S5 S6,S4 --B--> S6 | S4 --C--> S5 | S4 --F--> S4 | S4 --H--> S3 | S5 --B--> S6 | S5 --C--> S5 | S5 --F--> S4 | S5 --H--> S3 | S6 --B--> S6 | S6 --C--> S5 | S6 --D--> S1 | S6 --F--> S4 | S6 --H--> S3 | S6 --I--> S0 | S3 --B--> S6 | S3 --C--> S5 | S3 --F--> S4 | S3 --H--> S3 | S2 --B--> S6 | S2 --C--> S5 | S2 --F--> S4 | S2 --H--> S3,
((B|J|L|F)*F)*,B F J L,S4 S1,S0 S1 S2 S3 S4,S2 --B--> S2 | S2 --F--> S4 | S2 --J--> S3 | S2 --L--> S0 | S3 --B--> S2 | S3 --F--> S4 | S3 --J--> S3 | S3 --L--> S0 | S0 --B--> S2 | S0 --F--> S4 | S0 --J--> S3 | S0 --L--> S0 | S4 --B--> S2 | S4 --F--> S4 | S4 --J--> S3 | S4 --L--> S0 | S1 --B--> S2 | S1 --F--> S4 | S1 --J--> S3 | S1 --L--> S0,
(E|A)*,A E,S1 S2 S0,S0 S1 S2,S1 --A--> S2 | S1 --E--> S1 | S2 --A--> S2 | S2 --E--> S1 | S0 --A--> S2 | S0 --E--> S1,
(E|C|A)+K,A C E K,S0,S0 S1 S2 S3 S4,S3 --A--> S2 | S3 --C--> S4 | S3 --E--> S3 | S3 --K--> S0 | S4 --A--> S2 | S4 --C--> S4 | S4 --E--> S3 | S4 --K--> S0 | S2 --A--> S2 | S2 --C--> S4 | S2 --E--> S3 | S2 --K--> S0 | S1 --A--> S2 | S1 --C--> S4 | S1 --E--> S3,
((D|C)*L)*,C D L,S2 S3,S0 S1 S2 S3,S0 --C--> S1 | S0 --D--> S0 | S0 --L--> S2 | S1 --C--> S1 | S1 --D--> S0 | S1 --L--> S2 | S2 --C--> S1 | S2 --D--> S0 | S2 --L--> S2 | S3 --C--> S1 | S3 --D--> S0 | S3 --L--> S2,
(K|F)*,F K,S1 S2 S0,S0 S1 S2,S1 --F--> S2 | S1 --K--> S1 | S2 --F--> S2 | S2 --K--> S1 | S0 --F--> S2 | S0 --K--> S1,
(L|K|G)*ILE,E G I K L,S0,S0 S1 S2 S3 S4 S5 S6,S5 --G--> S4 | S5 --I--> S1 | S5 --K--> S6 | S5 --L--> S5 | S6 --G--> S4 | S6 --I--> S1 | S6 --K--> S6 | S6 --L--> S5 | S4 --G--> S4 | S4 --I--> S1 | S4 --K--> S6 | S4 --L--> S5 | S3 --G--> S4 | S3 --I--> S1 | S3 --K--> S6 | S3 --L--> S5 | S1 --L--> S2 | S2 --E--> S0,
(K|I|B)*D((D|C|K|E)),B C D E I K,S2 S3 S1 S0,S0 S1 S2 S3 S4 S5 S6 S7 S8,S7 --B--> S6 | S7 --D--> S5 | S7 --I--> S8 | S7 --K--> S7 | S8 --B--> S6 | S8 --D--> S5 | S8 --I--> S8 | S8 --K--> S7 | S6 --B--> S6 | S6 --D--> S5 | S6 --I--> S8 | S6 --K--> S7 | S4 --B--> S6 | S4 --D--> S5 | S4 --I--> S8 | S4 --K--> S7 | S5 --C--> S3 | S5 --D--> S2 | S5 --E--> S0 | S5 --K--> S1,
((L|A)*A)*,A L,S2 S1,S0 S1 S2,S0 --A--> S2 | S0 --L--> S0 | S2 --A--> S2 | S2 --L--> S0 | S1 --A--> S2 | S1 --L--> S0,
((G|I|J)*A((G|D|C|E)))*,A C D E G I J,S7 S8 S6 S5 S4,S0 S1 S2 S3 S4 S5 S6 S7 S8,S2 --A--> S0 | S2 --G--> S2 | S2 --I--> S3 | S2 --J--> S1 | S3 --A--> S0 | S3 --G--> S2 | S3 --I--> S3 | S3 --J--> S1 | S1 --A--> S0 | S1 --G--> S2 | S1 --I--> S3 | S1 --J--> S1 | S7 --A--> S0 | S7 --G--> S2 | S7 --I--> S3 | S7 --J--> S1 | S8 --A--> S0 | S8 --G--> S2 | S8 --I--> S3 | S8 --J--> S1 | S6 --A--> S0 | S6 --G--> S2 | S6 --I--> S3 | S6 --J--> S1 | S5 --A--> S0 | S5 --G--> S2 | S5 --I--> S3 | S5 --J--> S1 | S4 --A--> S0 | S4 --G--> S2 | S4 --I--> S3 | S4 --J--> S1 | S0 --C--> S6 | S0 --D--> S8 | S0 --E--> S5 | S0 --G--> S7,
(E|H)*G,E G H,S0,S0 S1 S2 S3,S2 --E--> S2 | S2 --G--> S0 | S2 --H--> S3 | S3 --E--> S2 | S3 --G--> S0 | S3 --H--> S3 | S1 --E--> S2 | S1 --G--> S0 | S1 --H--> S3,
B(K|I|H|L)*A,A B H I K L,S1,S0 S1 S2 S3 S4 S5 S6,S0 --B--> S2 | S2 --A--> S1 | S2 --H--> S4 | S2 --I--> S6 | S2 --K--> S5 | S2 --L--> S3 | S5 --A--> S1 | S5 --H--> S4 | S5 --I--> S6 | S5 --K--> S5 | S5 --L--> S3 | S6 --A--> S1 | S6 --H--> S4 | S6 --I--> S6 | S6 --K--> S5 | S6 --L--> S3 | S4 --A--> S1 | S4 --H--> S4 | S4 --I--> S6 | S4 --K--> S5 | S4 --L--> S3 | S3 --A--> S1 | S3 --H--> S4 | S3 --I--> S6 | S3 --K--> S5 | S3 --L--> S3,
G(B|F|I)*B,B F G I,S4,S0 S1 S2 S3 S4,S0 --G--> S1 | S1 --B--> S4 | S1 --F--> S3 | S1 --I--> S2 | S4 --B--> S4 | S4 --F--> S3 | S4 --I--> S2 | S3 --B--> S4 | S3 --F--> S3 | S3 --I--> S2 | S2 --B--> S4 | S2 --F--> S3 | S2 --I--> S2,
(B|H|G)*H,B G H,S3,S0 S1 S2 S3,S2 --B--> S2 | S2 --G--> S1 | S2 --H--> S3 | S3 --B--> S2 | S3 --G--> S1 | S3 --H--> S3 | S1 --B--> S2 | S1 --G--> S1 | S1 --H--> S3 | S0 --B--> S2 | S0 --G--> S1 | S0 --H--> S3,
(I|K|L)+I,I K L,S4,S0 S1 S2 S3 S4,S2 --I--> S4 | S2 --K--> S3 | S2 --L--> S1 | S4 --I--> S4 | S4 --K--> S3 | S4 --L--> S1 | S3 --I--> S4 | S3 --K--> S3 | S3 --L--> S1 | S1 --I--> S4 | S1 --K--> S3 | S1 --L--> S1 | S0 --I--> S2 | S0 --K--> S3 | S0 --L--> S1,
((H|J|F)*J)*,F H J,S3 S2,S0 S1 S2 S3,S1 --F--> S0 | S1 --H--> S1 | S1 --J--> S3 | S3 --F--> S0 | S3 --H--> S1 | S3 --J--> S3 | S0 --F--> S0 | S0 --H--> S1 | S0 --J--> S3 | S2 --F--> S0 | S2 --H--> S1 | S2 --J--> S3,
(B|L|G)+J,B G J L,S0,S0 S1 S2 S3 S4,S3 --B--> S3 | S3 --G--> S2 | S3 --J--> S0 | S3 --L--> S4 | S4 --B--> S3 | S4 --G--> S2 | S4 --J--> S0 | S4 --L--> S4 | S2 --B--> S3 | S2 --G--> S2 | S2 --J--> S0 | S2 --L--> S4 | S1 --B--> S3 | S1 --G--> S2 | S1 --L--> S4,
(F|G|J)*A((J|L)),A F G J L,S0 S1,S0 S1 S2 S3 S4 S5 S6,S5 --A--> S2 | S5 --F--> S5 | S5 --G--> S6 | S5 --J--> S4 | S6 --A--> S2 | S6 --F--> S5 | S6 --G--> S6 | S6 --J--> S4 | S4 --A--> S2 | S4 --F--> S5 | S4 --G--> S6 | S4 --J--> S4 | S3 --A--> S2 | S3 --F--> S5 | S3 --G--> S6 | S3 --J--> S4 | S2 --J--> S0 | S2 --L--> S1,
(K|L)*,K L,S1 S2 S0,S0 S1 S2,S1 --K--> S1 | S1 --L--> S2 | S2 --K--> S1 | S2 --L--> S2 | S0 --K--> S1 | S0 --L--> S2,
(L|J|H)*I((H|G)),G H I J L,S0 S1,S0 S1 S2 S3 S4 S5 S6,S5 --H--> S4 | S5 --I--> S2 | S5 --J--> S6 | S5 --L--> S5 | S6 --H--> S4 | S6 --I--> S2 | S6 --J--> S6 | S6 --L--> S5 | S4 --H--> S4 | S4 --I--> S2 | S4 --J--> S6 | S4 --L--> S5 | S3 --H--> S4 | S3 --I--> S2 | S3 --J--> S6 | S3 --L--> S5 | S2 --G--> S1 | S2 --H--> S0,
(K|F)*BCF,B C F K,S0,S0 S1 S2 S3 S4 S5,S4 --B--> S1 | S4 --F--> S5 | S4 --K--> S4 | S5 --B--> S1 | S5 --F--> S5 | S5 --K--> S4 | S3 --B--> S1 | S3 --F--> S5 | S3 --K--> S4 | S1 --C--> S2 | S2 --F--> S0,
(E|B|H|C)+K,B C E H K,S0,S0 S1 S2 S3 S4 S5,S4 --B--> S5 | S4 --C--> S2 | S4 --E--> S4 | S4 --H--> S3 | S4 --K--> S0 | S5 --B--> S5 | S5 --C--> S2 | S5 --E--> S4 | S5 --H--> S3 | S5 --K--> S0 | S3 --B--> S5 | S3 --C--> S2 | S3 --E--> S4 | S3 --H--> S3 | S3 --K--> S0 | S2 --B--> S5 | S2 --C--> S2 | S2 --E--> S4 | S2 --H--> S3 | S2 --K--> S0 | S1 --B--> S5 | S1 --C--> S2 | S1 --E--> S4 | S1 --H--> S3,
